Protocol,Src Port,Dst port,Packet Count,First Timestamp,Last Timestamp,Mean Packet Length
Ether,443,49750,1,Unknown,Unknown,566
Ether,443,49747,1,Unknown,Unknown,582
Ether,49747,443,1,Unknown,Unknown,85
Ether,443,49753,1,Unknown,Unknown,1514
Ether,443,49753,1,Unknown,Unknown,1514
Ether,443,49753,1,Unknown,Unknown,1514
Ether,443,49753,1,Unknown,Unknown,162
Ether,49753,443,1,Unknown,Unknown,54
Ether,443,49747,1,Unknown,Unknown,60
Ether,49750,443,1,Unknown,Unknown,85
Ether,443,49750,1,Unknown,Unknown,60
Ether,49753,443,1,Unknown,Unknown,128
Ether,443,49753,1,Unknown,Unknown,60
Ether,443,49751,1,Unknown,Unknown,1040
Ether,443,49754,1,Unknown,Unknown,582
Ether,443,49752,1,Unknown,Unknown,566
Ether,49751,443,1,Unknown,Unknown,85
Ether,443,49751,1,Unknown,Unknown,60
Ether,443,49749,1,Unknown,Unknown,1020
Ether,49749,443,1,Unknown,Unknown,85
Ether,443,49749,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,671
Ether,443,49747,1,Unknown,Unknown,85
Ether,443,49753,1,Unknown,Unknown,1020
Ether,443,49750,1,Unknown,Unknown,85
Ether,443,49747,1,Unknown,Unknown,573
Ether,443,49751,1,Unknown,Unknown,85
Ether,49747,443,1,Unknown,Unknown,54
Ether,443,49749,1,Unknown,Unknown,85
Ether,443,49751,1,Unknown,Unknown,291
Ether,49751,443,1,Unknown,Unknown,54
Ether,49751,443,1,Unknown,Unknown,93
Ether,443,49751,1,Unknown,Unknown,60
Ether,443,49749,1,Unknown,Unknown,1514
Ether,443,49749,1,Unknown,Unknown,348
Ether,49749,443,1,Unknown,Unknown,54
Ether,49750,443,1,Unknown,Unknown,54
Ether,49753,443,1,Unknown,Unknown,54
Ether,49754,443,1,Unknown,Unknown,54
Ether,49752,443,1,Unknown,Unknown,54
Ether,49748,443,1,Unknown,Unknown,54
Ether,49749,443,1,Unknown,Unknown,93
Ether,443,49749,1,Unknown,Unknown,60
Ether,58520,53,1,Unknown,Unknown,81
Ether,60600,53,1,Unknown,Unknown,81
Ether,61064,53,1,Unknown,Unknown,82
Ether,62154,53,1,Unknown,Unknown,82
Ether,53,58520,1,Unknown,Unknown,97
Ether,53,60600,1,Unknown,Unknown,138
Ether,49755,443,1,Unknown,Unknown,66
Ether,443,49750,1,Unknown,Unknown,958
Ether,443,49755,1,Unknown,Unknown,60
Ether,49755,443,1,Unknown,Unknown,54
Ether,49755,443,1,Unknown,Unknown,571
Ether,443,49755,1,Unknown,Unknown,60
Ether,443,49755,1,Unknown,Unknown,1514
Ether,443,49755,1,Unknown,Unknown,1514
Ether,443,49755,1,Unknown,Unknown,1514
Ether,443,49755,1,Unknown,Unknown,527
Ether,49755,443,1,Unknown,Unknown,54
Ether,49755,443,1,Unknown,Unknown,128
Ether,443,49755,1,Unknown,Unknown,60
Ether,49755,443,1,Unknown,Unknown,152
Ether,443,49755,1,Unknown,Unknown,60
Ether,49755,443,1,Unknown,Unknown,538
Ether,49755,443,1,Unknown,Unknown,1271
Ether,443,49755,1,Unknown,Unknown,60
Ether,443,49755,1,Unknown,Unknown,60
Ether,443,49750,1,Unknown,Unknown,958
Ether,49750,443,1,Unknown,Unknown,54
Ether,53,61064,1,Unknown,Unknown,114
Ether,443,49755,1,Unknown,Unknown,1055
Ether,49755,443,1,Unknown,Unknown,85
Ether,443,49755,1,Unknown,Unknown,60
Ether,443,49755,1,Unknown,Unknown,1441
Ether,49755,443,1,Unknown,Unknown,93
Ether,443,49755,1,Unknown,Unknown,60
Ether,53,62154,1,Unknown,Unknown,161
Ether,5353,5353,1,Unknown,Unknown,70
